,id,name,popularity,danceability,energy,liveness,loudness,speechiness,acousticness,instrumentalness,tempo,valence,key
0,4fouWK6XVHhzl78KzQ1UjL,abcdefu,100,0.695,0.54,0.367,-5.692,0.0493,0.299,0.0,121.932,0.415,4.0
1,52xJxFP6TqMuO4Yt0eOkMz,We Don't Talk About Bruno,94,0.577,0.45,0.111,-8.516,0.0834,0.357,0.0,205.863,0.83,0.0
2,5enxwA8aAbwZbf5qCHORXi,All Too Well (10 Minute Version) (Taylor's Version) (From The Vault),92,0.631,0.518,0.088,-8.771,0.0303,0.274,0.0,93.023,0.205,0.0
3,4VXIryQMWpIdGgYR4TrjT1,All Girls Are The Same,86,0.671,0.529,0.0856,-7.226,0.307,0.0769,0.000335,161.989,0.203,0.0
4,1r9xUipOqoNwggBpENDsvJ,Enemy (with JID) - from the series Arcane League of Legends,98,0.728,0.783,0.434,-4.424,0.266,0.237,0.0,77.011,0.555,11.0
5,1EQFOouqdKYdpbNoOHRVO2,abcdefu (angrier),84,0.671,0.599,0.101,-6.18,0.0405,0.0658,0.0,121.849,0.448,4.0
6,0bYg9bo50gSsH3LtXe2SQn,All I Want for Christmas Is You,91,0.336,0.627,0.0708,-7.463,0.0384,0.164,0.0,150.273,0.35,7.0
7,07MDkzWARZaLEdKxo6yArG,Meet Me At Our Spot,90,0.773,0.47,0.0851,-7.93,0.0299,0.0153,0.000193,94.995,0.399,2.0
8,2quVkyLSVr5wX2QIhnexUt,Already Dead,85,0.744,0.495,0.111,-6.311,0.0634,0.0216,0.0,83.51,0.128,1.0
9,2Xr1dTzJee307rmrkt8c0g,love nwantiti (ah ah ah),93,0.727,0.739,0.161,-3.805,0.0411,0.365,0.00137,93.005,0.533,8.0
10,10hMM5nsZQf66ldBlgWBfG,All For Us - from the HBO Original Series Euphoria,82,0.348,0.652,0.33,-7.145,0.0931,0.0165,0.000264,70.956,0.172,3.0
11,5lAnYvAIkSDNXqfo7DyFUm,Ain't Shit,85,0.855,0.488,0.347,-4.601,0.208,0.506,0.0,124.097,0.619,3.0
12,3Ofmpyhv5UAQ70mENzB277,Astronaut In The Ocean,85,0.778,0.695,0.15,-6.865,0.0913,0.175,0.0,149.996,0.472,4.0
13,30QR0ndUdiiMQMA9g1PGCm,"...And to Those I Love, Thanks for Sticking Around",85,0.792,0.511,0.14,-6.876,0.0409,0.124,9.04e-05,113.983,0.111,2.0
14,0k1WUmIRnG3xU6fvvDVfRG,Way 2 Sexy (with Future & Young Thug),88,0.803,0.597,0.323,-6.035,0.141,0.000619,4.5e-06,136.008,0.331,11.0
15,4bJygwUKrRgq1stlNXcgMg,All The Things She Said,85,0.603,0.834,0.105,-5.766,0.0417,0.0411,0.00609,89.957,0.376,5.0
